UID         PID   PPID  C STIME TTY          TIME CMD
root        209      2  0  2016 ?        00:00:02 [rcuos/28]
root        210      2  0  2016 ?        00:00:00 [rcuob/28]
root        211      2  0  2016 ?        00:00:02 [watchdog/29]
root        212      2  0  2016 ?        00:00:00 [migration/29]
root        213      2  0  2016 ?        00:00:00 [ksoftirqd/29]
root        215      2  0  2016 ?        00:00:00 [kworker/29:0H]
root        216      2  0  2016 ?        00:00:02 [rcuos/29]
root        217      2  0  2016 ?        00:00:00 [rcuob/29]
root        218      2  0  2016 ?        00:00:02 [watchdog/30]
root        219      2  0  2016 ?        00:00:00 [migration/30]
root        220      2  0  2016 ?        00:00:00 [ksoftirqd/30]
root        222      2  0  2016 ?        00:00:00 [kworker/30:0H]
root        223      2  0  2016 ?        00:00:02 [rcuos/30]
root        224      2  0  2016 ?        00:00:00 [rcuob/30]
root        225      2  0  2016 ?        00:00:02 [watchdog/31]
root        226      2  0  2016 ?        00:00:00 [migration/31]
root        227      2  0  2016 ?        00:00:00 [ksoftirqd/31]
root        229      2  0  2016 ?        00:00:00 [kworker/31:0H]
root        230      2  0  2016 ?        00:00:01 [rcuos/31]
root        231      2  0  2016 ?        00:00:00 [rcuob/31]
root        232      2  0  2016 ?        00:00:00 [kdevtmpfs]
root        233      2  0  2016 ?        00:00:00 [netns]
root        234      2  0  2016 ?        00:00:00 [perf]
root        235      2  0  2016 ?        00:00:00 [writeback]
root        236      2  0  2016 ?        00:00:00 [ksmd]
root        237      2  0  2016 ?        00:00:00 [khugepaged]
root        238      2  0  2016 ?        00:00:00 [crypto]
root        239      2  0  2016 ?        00:00:00 [kintegrityd]
root        240      2  0  2016 ?        00:00:00 [bioset]
root        241      2  0  2016 ?        00:00:00 [kblockd]
root        242      2  0  2016 ?        00:00:00 [ata_sff]
root        243      2  0  2016 ?        00:00:00 [md]
root        244      2  0  2016 ?        00:00:00 [devfreq_wq]
root        248      2  0  2016 ?        00:00:00 [kswapd0]
root        249      2  0  2016 ?        00:00:00 [kswapd1]
root        250      2  0  2016 ?        00:00:00 [vmstat]
root        251      2  0  2016 ?        00:00:00 [fsnotify_mark]
root        292      2  0  2016 ?        00:00:00 [kthrotld]
root        293      2  0  2016 ?        00:00:00 [acpi_thermal_pm]
root        294      2  0  2016 ?        00:00:00 [scsi_eh_0]
root        295      2  0  2016 ?        00:00:00 [scsi_tmf_0]
root        296      2  0  2016 ?        00:00:00 [scsi_eh_1]
root        297      2  0  2016 ?        00:00:00 [scsi_tmf_1]
root        298      2  0  2016 ?        00:00:00 [scsi_eh_2]
root        299      2  0  2016 ?        00:00:00 [scsi_tmf_2]
root        300      2  0  2016 ?        00:00:00 [scsi_eh_3]
root        301      2  0  2016 ?        00:00:00 [scsi_tmf_3]
root        305      2  0  2016 ?        00:00:00 [scsi_eh_4]
root        306      2  0  2016 ?        00:00:00 [scsi_tmf_4]
root        307      2  0  2016 ?        00:00:00 [scsi_eh_5]
root        308      2  0  2016 ?        00:00:00 [scsi_tmf_5]
root        309      2  0  2016 ?        00:00:00 [scsi_eh_6]
root        310      2  0  2016 ?        00:00:00 [scsi_tmf_6]
root        311      2  0  2016 ?        00:00:00 [scsi_eh_7]
root        312      2  0  2016 ?        00:00:00 [scsi_tmf_7]
root        313      2  0  2016 ?        00:00:00 [scsi_eh_8]
root        314      2  0  2016 ?        00:00:00 [scsi_tmf_8]
root        315      2  0  2016 ?        00:00:00 [scsi_eh_9]
root        316      2  0  2016 ?        00:00:00 [scsi_tmf_9]
root        338      2  0  2016 ?        00:00:00 [kpsmoused]
root        339      2  0  2016 ?        00:00:00 [dm_bufio_cache]
root        340      2  0  2016 ?        00:00:00 [ipv6_addrconf]
root        372      2  0  2016 ?        00:00:00 [deferwq]
root        373      2  0  2016 ?        00:00:13 [kworker/u288:1]
root        424      2  0  2016 ?        00:00:05 [kauditd]
root        545   2706  0 Jan04 ?        00:00:00 sshd: noyes [priv]
noyes       551      1  0 Jan04 ?        00:00:21 /usr/lib/systemd/systemd --user
noyes       554    551  0 Jan04 ?        00:00:00 (sd-pam)
noyes       556    545  0 Jan04 ?        00:00:00 sshd: noyes@pts/10
noyes       557    556  0 Jan04 pts/10   00:00:00 -bash
root        617      2  0  2016 ?        00:00:00 [scsi_eh_10]
root        618      2  0  2016 ?        00:00:00 [scsi_tmf_10]
root        619      2  0  2016 ?        00:00:00 [usb-storage]
root        620      2  0  2016 ?        00:00:00 [scsi_eh_11]
root        621      2  0  2016 ?        00:00:00 [scsi_tmf_11]
root        646      2  0  2016 ?        00:00:00 [ttm_swap]
root        920      2  0  2016 ?        00:00:00 [bioset]
root       1179      2  0  2016 ?        00:00:03 [kworker/8:1H]
root       1180      2  0  2016 ?        00:00:01 [kworker/10:1H]
root       1181      2  0  2016 ?        00:00:01 [kworker/14:1H]
root       1182      2  0  2016 ?        00:04:23 [kworker/0:1H]
root       1242      2  0  2016 ?        00:00:17 [kworker/4:1H]
root       1247      2  0  2016 ?        00:00:00 [kworker/26:1H]
root       1249      2  0  2016 ?        00:00:00 [kdmflush]
